# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ACES-OUTPUT - ACES2065-1_to_CIE-XYZ-D65 - <preset>_2.0 followed by DISPLAY - CIE-XYZ-D65_to_<encoding>
# columns: preset,r_ap0,g_ap0,b_ap0,cv_r,cv_g,cv_b
# presets: rec709_100_srgb = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; rec709_100_bt1886 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.1886-REC.709; rec709_100_g22 = SDR-100nit-REC709_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.2-REC.709; p3d65_100_g26 = SDR-100nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_G2.6-P3-D65; p3d65_1000_pq = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_ST2084-P3-D65; rec2020_1000_pq = HDR-1000nit-REC2020_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ; p3d65_1000_hlg_rec2100 = HDR-1000nit-P3-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-HLG-1000nit; rec709d60_100_srgb = SDR-100nit-REC709-D60-in-REC709-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_sRGB; p3d60_1000_pq_rec2100 = HDR-1000nit-P3-D60-in-REC2020-D65_2.0 + DISPLAY - CIE-XYZ-D65_to_REC.2100-PQ
rec709_100_srgb,0.0,0.0,0.0,0.0,0.0,0.0
rec709_100_srgb,0.01,0.01,0.01,0.009204935,0.009204937,0.009204939
rec709_100_srgb,0.5,0.5,0.5,0.56554663,0.56554663,0.5655467
rec709_100_srgb,8.0,8.0,8.0,0.9479174,0.9479174,0.9479174
rec709_100_srgb,0.05,0.0,0.0,0.135016,0.0,0.0032553133
rec709_100_srgb,0.0,0.05,0.05,0.0,0.11731186,0.10905399
rec709_100_srgb,0.5,0.0,0.0,0.76683885,0.0,0.08673837
rec709_100_srgb,0.0,0.5,0.5,0.0,0.5825959,0.5519025
rec709_100_srgb,1.0,0.0,0.0,0.99712723,0.0,0.12306849
rec709_100_srgb,0.0,1.0,1.0,0.0,0.7345638,0.6964069
rec709_100_srgb,10.0,0.0,0.0,1.0000067,0.57372636,0.52665496
rec709_100_srgb,0.0,10.0,10.0,0.6521909,1.0000067,0.97188085
rec709_100_srgb,28.41841,24.344778,37.99694,0.98686534,0.9845764,0.9897472
rec709_100_srgb,0.6612502,0.682678,0.09478852,0.6950004,0.66228604,0.18844965
rec709_100_srgb,59.221184,61.5654,59.030956,0.9957053,0.99592,0.99578005
rec709_100_srgb,0.00017070514,0.001229348,0.0015458196,0.0,5.5256918e-05,5.8026046e-05
rec709_100_srgb,45.84187,9.971024,82.71785,1.0000067,0.9670333,0.99968475
rec709_100_srgb,0.021122947,0.0024990516,0.014078625,0.03621712,0.0,0.014195569
rec709_100_srgb,0.002844924,0.00661045,0.0061173006,1.3834272e-05,0.002739834,0.002323199
rec709_100_srgb,0.00051750906,0.0014351306,0.0008430994,2.9831946e-07,8.0209655e-05,4.7410947e-05
rec709_100_srgb,0.022847129,0.20706503,0.14117625,0.0,0.37455902,0.31415164
rec709_100_srgb,6.3162236,4.270521,4.5560303,0.9599828,0.9059656,0.91467226
rec709_100_srgb,0.16540092,0.2519093,0.06328633,0.26447788,0.45113224,0.129109
rec709_100_srgb,0.12459811,0.20032758,0.0003521437,0.2800617,0.3968259,0.0
rec709_100_srgb,0.017277788,0.2918255,0.04677635,0.0,0.4591319,0.26144764
rec709_100_bt1886,0.0,0.0,0.0,0.0,0.0,0.0
rec709_100_bt1886,0.01,0.01,0.01,0.048820443,0.04882046,0.04882046
rec709_100_bt1886,0.5,0.5,0.5,0.5881959,0.5881959,0.588196
rec709_100_bt1886,8.0,8.0,8.0,0.9506327,0.9506327,0.9506327
rec709_100_bt1886,0.05,0.0,0.0,0.18010995,0.0,0.031659823
rec709_100_bt1886,0.0,0.05,0.05,0.0,0.16332878,0.15550143
rec709_100_bt1886,0.5,0.0,0.0,0.7789942,0.0,0.13434917
rec709_100_bt1886,0.0,0.5,0.5,0.0,0.60435635,0.575263
rec709_100_bt1886,1.0,0.0,0.0,0.997277,0.0,0.1687853
rec709_100_bt1886,0.0,1.0,1.0,0.0,0.74840176,0.7122341
rec709_100_bt1886,10.0,0.0,0.0,1.0000063,0.5959492,0.55133176
rec709_100_bt1886,0.0,10.0,10.0,0.6703232,1.0000063,0.9733468
rec709_100_bt1886,28.41841,24.344778,37.99694,0.9875502,0.98538053,0.9902818
rec709_100_bt1886,0.6612502,0.682678,0.09478852,0.7109009,0.679892,0.23075798
rec709_100_bt1886,59.221184,61.5654,59.030956,0.99592924,0.99613273,0.99600005
rec709_100_bt1886,0.00017070514,0.001229348,0.0015458196,0.0,0.0057932497,0.00591251
rec709_100_bt1886,45.84187,9.971024,82.71785,1.0000063,0.96875197,0.99970126
rec709_100_bt1886,0.021122947,0.0024990516,0.014078625,0.08639232,0.0,0.05847814
rec709_100_bt1886,0.002844924,0.00661045,0.0061173006,0.0032533195,0.02946571,0.027508318
rec709_100_bt1886,0.00051750906,0.0014351306,0.0008430994,0.0006577271,0.006766396,0.0054351357
rec709_100_bt1886,0.022847129,0.20706503,0.14117625,0.0,0.40716496,0.3499068
rec709_100_bt1886,6.3162236,4.270521,4.5560303,0.9620691,0.9108679,0.91912067
rec709_100_bt1886,0.16540092,0.2519093,0.06328633,0.30282265,0.47974622,0.17451091
rec709_100_bt1886,0.12459811,0.20032758,0.0003521437,0.31759405,0.42827103,0.0
rec709_100_bt1886,0.017277788,0.2918255,0.04677635,0.0,0.48732883,0.2999504
rec709_100_g22,0.0,0.0,0.0,0.0,0.0,0.0
rec709_100_g22,0.01,0.01,0.01,0.037100993,0.037101008,0.037101008
rec709_100_g22,0.5,0.5,0.5,0.56049067,0.56049067,0.5604908
rec709_100_g22,8.0,8.0,8.0,0.9462675,0.94626737,0.9462675
rec709_100_g22,0.05,0.0,0.0,0.15412071,0.0,0.02313076
rec709_100_g22,0.0,0.05,0.05,0.0,0.13852283,0.13129656
rec709_100_g22,0.5,0.0,0.0,0.7615068,0.0,0.11194007
rec709_100_g22,0.0,0.5,0.5,0.0,0.57731104,0.54706013
rec709_100_g22,1.0,0.0,0.0,0.99703014,0.0,0.14357933
rec709_100_g22,0.0,1.0,1.0,0.0,0.72894186,0.690598
rec709_100_g22,10.0,0.0,0.0,1.0000067,0.56855536,0.52228177
rec709_100_g22,0.0,10.0,10.0,0.6463865,1.0000067,0.9709594
rec709_100_g22,28.41841,24.344778,37.99694,0.98642635,0.9840623,0.98940325
rec709_100_g22,0.6612502,0.682678,0.09478852,0.68918794,0.6564591,0.2019574
rec709_100_g22,59.221184,61.5654,59.030956,0.9955602,0.9957821,0.9956375
rec709_100_g22,0.00017070514,0.001229348,0.0015458196,0.0,0.003627049,0.00370858
rec709_100_g22,45.84187,9.971024,82.71785,1.0000067,0.9659602,0.9996743
rec709_100_g22,0.021122947,0.0024990516,0.014078625,0.06914971,0.0,0.04517521
rec709_100_g22,0.002844924,0.00661045,0.0061173006,0.0019327457,0.02138764,0.019842556
rec709_100_g22,0.00051750906,0.0014351306,0.0008430994,0.000337891,0.0042965133,0.0033831443
rec709_100_g22,0.022847129,0.20706503,0.14117625,0.0,0.37522763,0.3180495
rec709_100_g22,6.3162236,4.270521,4.5560303,0.958693,0.90316963,0.91210026
rec709_100_g22,0.16540092,0.2519093,0.06328633,0.27165744,0.44875842,0.14890121
rec709_100_g22,0.12459811,0.20032758,0.0003521437,0.2861455,0.39649475,0.0
rec709_100_g22,0.017277788,0.2918255,0.04677635,0.0,0.45650232,0.26884776
p3d65_100_g26,0.0,0.0,0.0,0.0,0.0,0.0
p3d65_100_g26,0.01,0.01,0.01,0.06158563,0.06158563,0.06158563
p3d65_100_g26,0.5,0.5,0.5,0.6127052,0.6127052,0.61270523
p3d65_100_g26,8.0,8.0,8.0,0.95434195,0.954342,0.95434207
