# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# inverse of aces2_ocio_display_encoding.csv (display code values -> ACES2065-1)
# columns: preset,cv_r,cv_g,cv_b,r_ap0,g_ap0,b_ap0
rec709_100_srgb,0.0,0.0,0.0,0.0,0.0,0.0
rec709_100_srgb,0.009204935,0.009204937,0.009204939,0.010000007,0.010000011,0.010000011
rec709_100_srgb,0.56554663,0.56554663,0.5655467,0.50000817,0.5000097,0.5000095
rec709_100_srgb,0.9479174,0.9479174,0.9479174,7.99969,7.999776,7.99972
rec709_100_srgb,0.135016,0.0,0.0032553133,0.0477598,0.005169302,0.0007400225
rec709_100_srgb,0.0,0.11731186,0.10905399,0.020759217,0.04784736,0.04680583
rec709_100_srgb,0.76683885,0.0,0.08673837,0.48310122,0.048892044,0.005718764
rec709_100_srgb,0.0,0.5825959,0.5519025,0.19746464,0.49711028,0.48558363
rec709_100_srgb,0.99712723,0.0,0.12306849,0.9685799,0.08672671,0.006466153
rec709_100_srgb,0.0,0.7345638,0.6964069,0.38287663,0.98415375,0.96067697
rec709_100_srgb,1.0000067,0.57372636,0.52665496,1.4812794,0.6038634,0.35030916
rec709_100_srgb,0.6521909,1.0000067,0.97188085,3.4474478,8.099066,8.0476465
rec709_100_srgb,0.98686534,0.9845764,0.9897472,28.407608,24.336815,37.98603
rec709_100_srgb,0.6950004,0.66228604,0.18844965,0.66124356,0.68267214,0.09478856
rec709_100_srgb,0.9957053,0.99592,0.99578005,59.23224,61.59901,59.047886
rec709_100_srgb,0.0,5.5256918e-05,5.8026046e-05,0.0005146956,0.0011884207,0.0014248656
rec709_100_srgb,1.0000067,0.9670333,0.99968475,27.959381,13.08451,41.138885
rec709_100_srgb,0.03621712,0.0,0.014195569,0.020307012,0.0032493656,0.01373586
rec709_100_srgb,1.3834272e-05,0.002739834,0.002323199,0.0028449208,0.00661046,0.006117314
rec709_100_srgb,2.9831946e-07,8.0209655e-05,4.7410947e-05,0.0005175108,0.0014351313,0.00084310054
rec709_100_srgb,0.0,0.37455902,0.31415164,0.07442161,0.20014155,0.14395867
rec709_100_srgb,0.9599828,0.9059656,0.91467226,6.316226,4.2707157,4.556317
rec709_100_srgb,0.26447788,0.45113224,0.129109,0.16540062,0.25190568,0.06328554
rec709_100_srgb,0.2800617,0.3968259,0.0,0.12906078,0.20020762,0.00764945
rec709_100_srgb,0.0,0.4591319,0.26144764,0.08119343,0.28210032,0.065633595
rec709_100_bt1886,0.0,0.0,0.0,0.0,0.0,0.0
rec709_100_bt1886,0.048820443,0.04882046,0.04882046,0.009999885,0.009999887,0.009999889
rec709_100_bt1886,0.5881959,0.5881959,0.588196,0.50000966,0.50000954,0.5000095
rec709_100_bt1886,0.9506327,0.9506327,0.9506327,7.9997535,7.9997864,7.9997635
rec709_100_bt1886,0.18010995,0.0,0.031659823,0.047759764,0.0051693246,0.00074003247
rec709_100_bt1886,0.0,0.16332878,0.15550143,0.020759316,0.04784735,0.046805788
rec709_100_bt1886,0.7789942,0.0,0.13434917,0.48310122,0.048892044,0.005718764
rec709_100_bt1886,0.0,0.60435635,0.575263,0.19746555,0.49711075,0.48558375
rec709_100_bt1886,0.997277,0.0,0.1687853,0.9685799,0.08672671,0.006466153
rec709_100_bt1886,0.0,0.74840176,0.7122341,0.38287663,0.98415375,0.96067697
rec709_100_bt1886,1.0000063,0.5959492,0.55133176,1.4812794,0.6038634,0.35030916
rec709_100_bt1886,0.6703232,1.0000063,0.9733468,3.4474478,8.099066,8.0476465
rec709_100_bt1886,0.9875502,0.98538053,0.9902818,28.40795,24.33698,37.986862
rec709_100_bt1886,0.7109009,0.679892,0.23075798,0.6612435,0.682673,0.09478836
rec709_100_bt1886,0.99592924,0.99613273,0.99600005,59.23224,61.59901,59.047886
rec709_100_bt1886,0.0,0.0057932497,0.00591251,0.0005147019,0.001188397,0.0014248509
rec709_100_bt1886,1.0000063,0.96875197,0.99970126,27.959305,13.084592,41.138477
rec709_100_bt1886,0.08639232,0.0,0.05847814,0.020306852,0.003249361,0.013735898
rec709_100_bt1886,0.0032533195,0.02946571,0.027508318,0.0028449283,0.006610464,0.0061173886
rec709_100_bt1886,0.0006577271,0.006766396,0.0054351357,0.00051749556,0.0014351603,0.00084306335
rec709_100_bt1886,0.0,0.40716496,0.3499068,0.07442162,0.20014156,0.14395882
rec709_100_bt1886,0.9620691,0.9108679,0.91912067,6.316229,4.270718,4.556298
rec709_100_bt1886,0.30282265,0.47974622,0.17451091,0.16540043,0.2519056,0.06328556
rec709_100_bt1886,0.31759405,0.42827103,0.0,0.12906066,0.20020784,0.0076493863
rec709_100_bt1886,0.0,0.48732883,0.2999504,0.08119359,0.28210044,0.06563364
rec709_100_g22,0.0,0.0,0.0,0.0,0.0,0.0
rec709_100_g22,0.037100993,0.037101008,0.037101008,0.010000048,0.0100000445,0.010000046
rec709_100_g22,0.56049067,0.56049067,0.5604908,0.49999478,0.4999955,0.49999538
rec709_100_g22,0.9462675,0.94626737,0.9462675,8.000006,7.9999824,8.000051
rec709_100_g22,0.15412071,0.0,0.02313076,0.047760934,0.0051694144,0.00073996757
rec709_100_g22,0.0,0.13852283,0.13129656,0.020759013,0.047846545,0.046803724
rec709_100_g22,0.7615068,0.0,0.11194007,0.4830998,0.048891425,0.00571896
rec709_100_g22,0.0,0.57731104,0.54706013,0.19746009,0.49710128,0.48556972
rec709_100_g22,0.99703014,0.0,0.14357933,0.9685773,0.08672701,0.006466418
rec709_100_g22,0.0,0.72894186,0.690598,0.3828791,0.9841611,0.9606935
rec709_100_g22,1.0000067,0.56855536,0.52228177,1.4812591,0.6038518,0.3503087
rec709_100_g22,0.6463865,1.0000067,0.9709594,3.4474916,8.099092,8.047677
rec709_100_g22,0.98642635,0.9840623,0.98940325,28.408066,24.336512,37.984974
rec709_100_g22,0.68918794,0.6564591,0.2019574,0.66125435,0.6826849,0.09478828
rec709_100_g22,0.9955602,0.9957821,0.9956375,59.231514,61.59116,59.043728
rec709_100_g22,0.0,0.003627049,0.00370858,0.0005146973,0.0011884177,0.001424859
rec709_100_g22,1.0000067,0.9659602,0.9996743,27.960873,13.084286,41.14163
rec709_100_g22,0.06914971,0.0,0.04517521,0.020306824,0.0032493384,0.013735713
rec709_100_g22,0.0019327457,0.02138764,0.019842556,0.0028449139,0.0066104904,0.006117376
rec709_100_g22,0.000337891,0.0042965133,0.0033831443,0.00051750685,0.0014351242,0.00084312394
rec709_100_g22,0.0,0.37522763,0.3180495,0.074421994,0.2001379,0.14396703
rec709_100_g22,0.958693,0.90316963,0.91210026,6.316336,4.2707705,4.556371
rec709_100_g22,0.27165744,0.44875842,0.14890121,0.165402,0.2519125,0.06328694
rec709_100_g22,0.2861455,0.39649475,0.0,0.12905818,0.2002029,0.0076493663
rec709_100_g22,0.0,0.45650232,0.26884776,0.081190914,0.2821073,0.06562528
p3d65_100_g26,0.0,0.0,0.0,0.0,0.0,0.0
p3d65_100_g26,0.06158563,0.06158563,0.06158563,0.0099999225,0.009999919,0.009999922
p3d65_100_g26,0.6127052,0.6127052,0.61270523,0.50001556,0.50001574,0.500016
p3d65_100_g26,0.95434195,0.954342,0.95434207,7.9996963,7.9996414,7.9996457
p3d65_100_g26,0.19665289,0.0,0.041837692,0.048354052,0.0047643986,0.00055134855
