# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMPRESS_20
# columns: peak_nits,limiting_primaries,J,M,h,J_out,M_out,h_out
100.0,rec709,0.0,0.0,0.0,0.0,0.0,0.0
100.0,rec709,0.022335686,0.0,164.57474,0.022335686,0.0,164.57474
100.0,rec709,0.2785421,0.0,173.92226,0.2785421,0.0,173.92226
100.0,rec709,3.2538872,0.0,219.61554,3.2538872,0.0,219.61554
100.0,rec709,14.332636,2.1671754e-06,181.73788,14.332636,2.1671754e-06,181.73788
100.0,rec709,34.075542,3.6558995e-05,177.62239,34.075542,3.6558995e-05,177.62239
100.0,rec709,55.271793,1.855173e-05,176.44167,55.271793,1.855173e-05,176.44167
100.0,rec709,69.55675,2.7466509e-05,177.48572,69.55675,2.7466509e-05,177.48572
100.0,rec709,81.30954,0.0,177.93018,81.30954,0.0,177.93018
100.0,rec709,94.534966,0.0,176.9954,94.534966,0.0,176.9954
100.0,rec709,98.838844,0.0,180.71329,98.838844,0.0,180.71329
100.0,rec709,99.89007,0.0,177.74358,99.89007,0.0,177.74358
100.0,rec709,6.1510363,17.895338,18.546513,6.382691,12.3358345,18.546513
100.0,rec709,13.75395,14.175593,101.42356,14.073856,10.418545,101.42356
100.0,rec709,8.276592,16.32237,153.3745,8.800707,7.207878,153.3745
100.0,rec709,8.813292,11.642649,190.06866,9.21832,4.9080567,190.06866
100.0,rec709,0.029497975,1.284977,209.1584,0.029774122,0.0325538,209.1584
100.0,rec709,6.9769754,16.099798,345.9525,7.206537,11.165216,345.9525
100.0,rec709,35.156612,84.93391,18.664797,35.450417,55.46864,18.664797
100.0,rec709,54.15912,47.08298,101.54386,54.834545,34.16044,101.54386
100.0,rec709,41.569824,71.59632,153.2239,44.49344,29.85149,153.2239
100.0,rec709,43.01636,50.887108,190.0524,45.896305,20.05791,190.0524
100.0,rec709,0.35979337,3.5636406,208.80357,0.36868528,0.29419905,208.80357
100.0,rec709,37.79883,74.43793,346.0031,38.215908,48.39537,346.0031
100.0,rec709,49.40667,117.45781,18.729034,46.731205,71.71156,18.729034
100.0,rec709,68.55104,57.6071,101.60796,68.36466,41.50743,101.60796
100.0,rec709,56.300457,97.72926,153.14267,56.847485,37.210426,153.14267
100.0,rec709,57.793365,70.19972,190.04375,59.27517,25.1865,190.04375
100.0,rec709,0.7549215,4.341071,208.6143,0.77645206,0.56287944,208.6143
100.0,rec709,52.304016,103.391075,346.03012,50.13093,62.374874,346.03012
100.0,rec709,88.99155,204.17139,19.1395,66.68215,48.092197,19.1395
100.0,rec709,95.390724,73.17282,101.9972,94.4649,22.574654,101.9972
100.0,rec709,91.792534,159.706,152.63237,85.702446,38.86689,152.63237
100.0,rec709,92.31271,121.13311,189.99106,89.50331,29.86741,189.99106
100.0,rec709,7.4720235,12.772386,207.45953,7.916556,4.2245293,207.45953
100.0,rec709,90.26218,181.55933,346.19482,72.98263,43.818813,346.19482
100.0,rec709,43.832962,38.72115,177.88812,45.37848,20.946522,177.88812
100.0,rec709,38.85338,8.639419,255.76355,38.853382,8.639419,255.76355
100.0,rec709,1.7751789,3.1615276,150.59303,1.792361,1.8431512,150.59303
100.0,rec709,0.2758018,0.63821834,350.13837,0.2759232,0.5786811,350.13837
100.0,rec709,92.988815,2.3547194,351.54572,92.98881,2.3547194,351.54572
100.0,rec709,0.3078981,0.39742061,196.39767,0.30826727,0.23527327,196.39767
100.0,rec709,1.0525311,1.7939593,197.00922,1.0608822,0.71924025,197.00922
100.0,rec709,97.35511,6.5100327,120.88376,97.3551,6.5100327,120.88376
100.0,rec709,8.964506,17.184107,346.34564,9.177803,13.362011,346.34564
100.0,rec709,99.32266,1.1077201,324.87567,99.3222,0.8650801,324.87567
100.0,rec709,94.897514,93.0055,206.70474,92.74126,13.327007,206.70474
100.0,rec709,18.751842,20.64519,129.32271,19.187426,16.33739,129.32271
100.0,rec709,13.829343,6.013414,171.64165,13.829732,6.008637,171.64165
100.0,rec709,75.38622,36.150238,349.9678,74.791626,32.44833,349.9678
100.0,rec709,2.1628506,5.0143723,346.98468,2.1815865,3.8208532,346.98468
100.0,rec709,59.218662,9.091327,79.86531,59.218662,9.091327,79.86531
