# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_RGB_TO_JMH_20
# columns: primaries,r,g,b,J,M,h
ap0,0.0,0.0,0.0,0.0,0.0,0.0
ap0,1e-04,1e-04,1e-04,1.2754085,9.55899e-07,164.57474
ap0,0.001,0.001,0.001,3.825171,1.7064618e-06,173.92226
ap0,0.01,0.01,0.01,11.448257,1.2385836e-06,219.61554
ap0,0.05,0.05,0.05,24.561338,2.9480893e-06,181.73788
ap0,0.18,0.18,0.18,44.938602,5.2442287e-05,177.62239
ap0,0.5,0.5,0.5,72.49245,4.3696742e-05,176.44167
ap0,1.0,1.0,1.0,99.99999,9.510992e-05,177.48572
ap0,2.0,2.0,2.0,137.52728,6.601254e-06,177.93018
ap0,8.0,8.0,8.0,256.72885,9.3245835e-05,176.9954
ap0,32.0,32.0,32.0,466.52563,0.00015321598,180.71329
ap0,100.0,100.0,100.0,738.8857,0.0004360034,177.74358
ap0,0.05,0.0,0.0,15.555678,46.00433,18.546513
ap0,0.05,0.05,0.0,23.970108,23.09528,101.42356
ap0,0.0,0.05,0.0,18.102222,40.266724,153.3745
ap0,0.0,0.05,0.05,18.711206,32.059708,190.06866
ap0,0.0,0.0,0.05,1.4393253,56.199722,209.1584
ap0,0.05,0.0,0.05,16.575281,43.133755,345.9525
ap0,0.5,0.0,0.0,46.14259,118.70633,18.664797
ap0,0.5,0.5,0.0,70.763084,59.605007,101.54386
ap0,0.0,0.5,0.0,53.630875,103.65645,153.2239
ap0,0.0,0.5,0.5,55.41479,82.24545,190.0524
ap0,0.0,0.0,0.5,4.277988,147.06279,208.80357
ap0,0.5,0.0,0.5,49.151474,111.110794,346.0031
ap0,1.0,0.0,0.0,63.822227,157.18237,18.729034
ap0,1.0,1.0,0.0,97.62597,78.934235,101.60796
ap0,0.0,1.0,0.0,74.13099,137.08252,153.14267
ap0,0.0,1.0,1.0,76.58183,108.56446,190.04375
ap0,0.0,0.0,1.0,5.923398,196.21573,208.6143
ap0,1.0,0.0,1.0,67.97233,146.99097,346.03012
ap0,10.0,0.0,0.0,183.78117,387.19653,19.1395
ap0,10.0,10.0,0.0,276.72708,194.64157,101.9972
ap0,0.0,10.0,0.0,212.5961,335.14423,152.63237
ap0,0.0,10.0,10.0,219.36234,262.3135,189.99106
ap0,0.0,0.0,10.0,17.166733,507.23856,207.45953
ap0,10.0,0.0,10.0,195.51997,360.04773,346.19482
ap0,0.12835671,0.42425424,0.2891852,56.43955,48.07297,177.88812
ap0,0.2179053,0.23109841,0.34486538,50.380863,10.866659,255.76355
ap0,0.0025988314,0.008282656,0.0012659623,8.670785,11.776742,150.59303
ap0,0.0016947687,0.00044669004,0.0013730898,3.8086896,6.2905774,350.13837
ap0,7.2360888,5.3612547,6.6169443,229.09314,50.069077,351.54572
ap0,0.00061579206,0.0014427701,0.0016487708,3.996336,3.742241,196.39767
ap0,0.00085590343,0.005282828,0.0067177676,6.8621407,10.2775545,197.00922
ap0,14.227308,18.438784,4.0771413,348.01096,149.87938,120.88376
ap0,0.05438203,0.008477045,0.0514045,18.88088,33.07178,346.34564
ap0,60.60197,33.507004,88.86753,545.62384,219.81465,324.87567
ap0,2.780193,12.51065,22.101048,264.68127,229.43301,206.70474
ap0,0.053610936,0.09035126,0.0063881534,29.014132,27.889736,129.32271
ap0,0.040305544,0.053870525,0.04492682,24.047318,6.71418,171.64165
ap0,2.0856154,0.8216084,1.7603343,115.870155,88.31581,349.9678
ap0,0.012909604,0.0018970562,0.011854765,9.4834175,18.52098,346.98468
ap0,0.63535184,0.59443116,0.34960604,79.00848,17.17377,79.86531
ap0,0.009795946,0.0067738215,0.007262715,10.324928,4.2854004,6.304041
ap0,4.9657006,7.114646,0.7187635,224.65367,140.74976,122.93732
ap0,0.020688212,0.025609445,0.006608773,16.911085,10.09064,118.7246
ap0,0.002140473,0.0022664326,0.0013847284,5.543792,1.5218561,108.72589
ap0,5.7410045,6.970885,5.246352,232.32845,36.50548,151.48792
ap0,12.311204,5.3472,2.5092647,257.3459,169.28226,29.440594
ap0,1.1829528,7.845009,5.9025946,206.25606,190.183,182.86198
ap0,3.7690847,8.79762,2.1358516,232.3916,156.14784,149.11057
ap0,2.024743,0.48334378,1.9702173,107.40098,121.87242,345.49277
ap0,4.7441,1.1557485,3.409549,157.65364,167.3878,352.8672
ap0,24.532665,24.760946,11.826119,414.27924,87.17242,97.63913
ap0,0.7793694,0.74921787,0.45722532,87.531876,17.117903,85.05584
ap0,0.27376878,0.27468958,0.059621945,53.864223,27.78392,98.45711
ap0,1.7278978,3.3542383,3.069833,156.3929,70.39003,185.94801
ap0,0.1452532,-0.04281437,0.26234332,21.90004,117.07848,341.19208
ap0,0.25027362,-0.03415102,0.16085279,31.006962,118.44953,352.1386
ap0,0.15937898,0.09650285,0.21861161,38.15607,21.08137,325.2071
ap0,-0.02372666,0.21780685,0.13215691,35.481506,67.476265,181.26607
ap0,0.23191704,0.019229304,0.19946364,35.863197,69.44471,348.3731
ap0,0.29208368,0.268283,0.011918582,53.943474,40.731976,94.72156
ap0,0.19156015,0.19844612,-0.04582044,44.8063,87.31463,106.98563
ap0,0.18020925,0.22492863,0.26699904,48.04995,10.802434,212.5545
ap1,0.0,0.0,0.0,0.0,0.0,0.0
ap1,1e-04,1e-04,1e-04,1.2754085,2.1685939e-07,301.7525
ap1,0.001,0.001,0.001,3.825171,3.63335e-07,305.40106
ap1,0.01,0.01,0.01,11.448257,1.2385836e-06,219.61554
ap1,0.05,0.05,0.05,24.561338,2.9480893e-06,181.73788
ap1,0.18,0.18,0.18,44.938606,1.0264871e-05,335.65228
ap1,0.5,0.5,0.5,72.49244,1.1106506e-05,199.43468
ap1,1.0,1.0,1.0,99.999985,3.3027387e-05,209.51715
ap1,2.0,2.0,2.0,137.52728,6.601254e-06,177.93018
ap1,8.0,8.0,8.0,256.72885,3.075416e-05,340.29184
ap1,32.0,32.0,32.0,466.52563,9.654443e-05,340.37546
ap1,100.0,100.0,100.0,738.8857,0.00017392902,191.30441
ap1,0.05,0.0,0.0,13.731161,34.70073,24.503239
ap1,0.05,0.05,0.0,22.499353,22.42536,105.977394
ap1,0.0,0.05,0.0,17.922844,32.50845,147.55199
ap1,0.0,0.05,0.05,20.426134,19.34965,192.26067
ap1,0.0,0.0,0.05,10.031942,17.097105,269.06808
ap1,0.05,0.0,0.05,17.077831,29.547054,341.52573
ap1,0.5,0.0,0.0,40.788185,89.71552,24.664501
ap1,0.5,0.5,0.0,66.48239,57.93153,106.04286
ap1,0.0,0.5,0.0,53.110176,83.79329,147.39694
ap1,0.0,0.5,0.5,60.43769,49.564278,192.24286
ap1,0.0,0.0,0.5,29.883253,43.998898,268.87244
ap1,0.5,0.0,0.5,50.635178,76.01447,341.58585
ap1,1.0,0.0,0.0,56.459,118.92054,24.752151
ap1,1.0,1.0,0.0,91.76528,76.75735,106.07779
ap1,0.0,1.0,0.0,73.41915,110.89122,147.31342
ap1,0.0,1.0,1.0,83.48187,65.37221,192.23338
ap1,0.0,0.0,1.0,41.426746,58.177715,268.76697
ap1,1.0,0.0,1.0,70.019226,100.49202,341.61795
ap1,10.0,0.0,0.0,163.33867,294.88345,25.31335
ap1,10.0,10.0,0.0,260.89343,189.86934,106.29053
ap1,0.0,10.0,0.0,210.69107,272.2852,146.79047
ap1,0.0,10.0,10.0,238.39223,157.16676,192.17578
ap1,0.0,0.0,10.0,120.98122,142.08727,268.10486
ap1,10.0,0.0,10.0,201.31581,245.09932,341.81387
ap1,0.12835671,0.42425424,0.2891852,57.843254,32.336353,175.46527
