# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_OUTPUT_TRANSFORM_20
# columns: peak_nits,limiting_primaries,r,g,b,r_out,g_out,b_out
# output is display-linear in the limiting primaries, 1.0 = 100 cd/m^2
100.0,rec709,0.0,0.0,0.0,0.0,0.0,0.0
100.0,rec709,1e-04,1e-04,1e-04,2.0938199e-08,2.09382e-08,2.0938206e-08
100.0,rec709,0.001,0.001,0.001,4.12918e-06,4.1291814e-06,4.1291823e-06
100.0,rec709,0.01,0.01,0.01,0.00071227935,0.00071227946,0.0007122796
100.0,rec709,0.05,0.05,0.05,0.016048547,0.01604855,0.016048556
100.0,rec709,0.18,0.18,0.18,0.099999085,0.09999935,0.09999933
100.0,rec709,0.5,0.5,0.5,0.27980283,0.27980283,0.27980292
100.0,rec709,1.0,1.0,1.0,0.45756522,0.45756575,0.45756575
100.0,rec709,2.0,2.0,2.0,0.63988364,0.6398836,0.63988376
100.0,rec709,8.0,8.0,8.0,0.88557404,0.8855741,0.8855743
100.0,rec709,32.0,32.0,32.0,0.97504646,0.97504634,0.9750467
100.0,rec709,100.0,100.0,100.0,0.99762255,0.99762255,0.9976227
100.0,rec709,0.05,0.0,0.0,0.01303178,-8.147461e-05,0.00050124474
100.0,rec709,0.05,0.05,0.0,0.020780057,0.017985323,-0.0002126999
100.0,rec709,0.0,0.05,0.0,-0.0001404616,0.009029679,0.002231142
100.0,rec709,0.0,0.05,0.05,-0.00019527641,0.008505235,0.0076155663
100.0,rec709,0.0,0.0,0.05,-3.4553411e-09,4.784828e-08,6.1442364e-08
100.0,rec709,0.05,0.0,0.05,0.012105192,-0.00015794318,0.00678247
100.0,rec709,0.5,0.0,0.0,0.48586422,-0.003507297,0.018224766
100.0,rec709,0.5,0.5,0.0,0.36968797,0.32048202,-0.0034315921
100.0,rec709,0.0,0.5,0.0,-0.005293492,0.27735013,0.067398764
100.0,rec709,0.0,0.5,0.5,-0.00752391,0.25313982,0.22644386
100.0,rec709,0.0,0.0,0.5,-5.8154905e-07,9.294105e-06,1.1828139e-05
100.0,rec709,0.5,0.0,0.5,0.41134098,-0.0065643755,0.22985514
100.0,rec709,1.0,0.0,0.0,0.88538504,-0.009669338,0.030924913
100.0,rec709,1.0,1.0,0.0,0.5924926,0.5139117,-0.006164728
100.0,rec709,0.0,1.0,0.0,-0.011184686,0.4689722,0.11199691
100.0,rec709,0.0,1.0,1.0,-0.015381732,0.437662,0.39122152
100.0,rec709,0.0,0.0,1.0,-2.5450013e-06,4.422238e-05,5.60161e-05
100.0,rec709,1.0,0.0,1.0,0.7420071,-0.016021503,0.4130511
100.0,rec709,10.0,0.0,0.0,1.1645007,0.19970648,0.20264456
100.0,rec709,10.0,10.0,0.0,1.0093354,0.9715694,0.4098358
100.0,rec709,0.0,10.0,0.0,0.18050347,1.0219026,0.3690212
100.0,rec709,0.0,10.0,10.0,0.10226727,1.0138388,0.918934
100.0,rec709,0.0,0.0,10.0,-0.00022083413,0.005764659,0.0071209036
100.0,rec709,10.0,0.0,10.0,1.1065269,0.22650562,0.70362556
100.0,rec709,0.12835671,0.42425424,0.2891852,-0.0021164026,0.25737226,0.17712943
100.0,rec709,0.2179053,0.23109841,0.34486538,0.08762273,0.12777846,0.2088338
100.0,rec709,0.0025988314,0.008282656,0.0012659623,1.1924927e-06,0.00032176764,6.590371e-05
100.0,rec709,0.0016947687,0.00044669004,0.0013730898,1.2674186e-05,2.9156342e-07,5.9776144e-06
100.0,rec709,7.2360888,5.3612547,6.6169443,0.9029017,0.83382297,0.86282396
100.0,rec709,0.00061579206,0.0014427701,0.0016487708,4.0929518e-09,6.6300236e-06,6.6943167e-06
100.0,rec709,0.00085590343,0.005282828,0.0067177676,-2.2191628e-06,8.8729554e-05,9.067708e-05
100.0,rec709,14.227308,18.438784,4.0771413,0.9260581,0.9901105,0.8028202
100.0,rec709,0.05438203,0.008477045,0.0514045,0.019775808,-4.5697983e-05,0.010941367
100.0,rec709,60.60197,33.507004,88.86753,0.9969437,0.97722703,0.99874145
100.0,rec709,2.780193,12.51065,22.101048,0.520925,0.9319191,1.0061659
100.0,rec709,0.053610936,0.09035126,0.0063881534,0.015379568,0.043765873,0.00015614067
100.0,rec709,0.040305544,0.053870525,0.04492682,0.0035195996,0.019784411,0.013026717
100.0,rec709,2.0856154,0.8216084,1.7603343,1.0192606,0.32205436,0.6393179
100.0,rec709,0.012909604,0.0018970562,0.011854765,0.0009813787,-3.647677e-06,0.00052606117
100.0,rec709,0.63535184,0.59443116,0.34960604,0.39579436,0.32877254,0.21188425
100.0,rec709,0.009795946,0.0067738215,0.007262715,0.00095179933,0.0002727153,0.00038612314
100.0,rec709,4.9657006,7.114646,0.7187635,0.75181085,1.0116808,0.3822257
100.0,rec709,0.020688212,0.025609445,0.006608773,0.0034235378,0.005070431,0.00023949328
100.0,rec709,0.002140473,0.0022664326,0.0013847284,2.5741472e-05,2.6964786e-05,1.3152903e-05
