# generated by reference-checks/aces2_ocio_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_TONESCALE_COMPRESS_20
# columns: peak_nits,J,M,h,J_out,M_out,h_out
100.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,1.2754085,9.55899e-07,164.57474,0.022335686,0.0,164.57474
100.0,3.825171,1.7064618e-06,173.92226,0.2785421,0.0,173.92226
100.0,11.448257,1.2385836e-06,219.61554,3.2538872,0.0,219.61554
100.0,24.561338,2.9480893e-06,181.73788,14.332636,2.1671754e-06,181.73788
100.0,44.938602,5.2442287e-05,177.62239,34.075542,3.6558995e-05,177.62239
100.0,72.49245,4.3696742e-05,176.44167,55.271793,1.855173e-05,176.44167
100.0,99.99999,9.510992e-05,177.48572,69.55675,2.7466509e-05,177.48572
100.0,137.52728,6.601254e-06,177.93018,81.30954,0.0,177.93018
100.0,256.72885,9.3245835e-05,176.9954,94.534966,0.0,176.9954
100.0,466.52563,0.00015321598,180.71329,98.838844,0.0,180.71329
100.0,738.8857,0.0004360034,177.74358,99.89007,0.0,177.74358
100.0,15.555678,46.00433,18.546513,6.1510363,17.895338,18.546513
100.0,23.970108,23.09528,101.42356,13.75395,14.175593,101.42356
100.0,18.102222,40.266724,153.3745,8.276592,16.32237,153.3745
100.0,18.711206,32.059708,190.06866,8.813292,11.642649,190.06866
100.0,1.4393253,56.199722,209.1584,0.029497975,1.284977,209.1584
100.0,16.575281,43.133755,345.9525,6.9769754,16.099798,345.9525
100.0,46.14259,118.70633,18.664797,35.156612,84.93391,18.664797
100.0,70.763084,59.605007,101.54386,54.15912,47.08298,101.54386
100.0,53.630875,103.65645,153.2239,41.569824,71.59632,153.2239
100.0,55.41479,82.24545,190.0524,43.01636,50.887108,190.0524
100.0,4.277988,147.06279,208.80357,0.35979337,3.5636406,208.80357
100.0,49.151474,111.110794,346.0031,37.79883,74.43793,346.0031
100.0,63.822227,157.18237,18.729034,49.40667,117.45781,18.729034
100.0,97.62597,78.934235,101.60796,68.55104,57.6071,101.60796
100.0,74.13099,137.08252,153.14267,56.300457,97.72926,153.14267
100.0,76.58183,108.56446,190.04375,57.793365,70.19972,190.04375
100.0,5.923398,196.21573,208.6143,0.7549215,4.341071,208.6143
100.0,67.97233,146.99097,346.03012,52.304016,103.391075,346.03012
100.0,183.78117,387.19653,19.1395,88.99155,204.17139,19.1395
100.0,276.72708,194.64157,101.9972,95.390724,73.17282,101.9972
100.0,212.5961,335.14423,152.63237,91.792534,159.706,152.63237
100.0,219.36234,262.3135,189.99106,92.31271,121.13311,189.99106
100.0,17.166733,507.23856,207.45953,7.4720235,12.772386,207.45953
100.0,195.51997,360.04773,346.19482,90.26218,181.55933,346.19482
100.0,56.43955,48.07297,177.88812,43.832962,38.72115,177.88812
100.0,50.380863,10.866659,255.76355,38.85338,8.639419,255.76355
100.0,8.670785,11.776742,150.59303,1.7751789,3.1615276,150.59303
100.0,3.8086896,6.2905774,350.13837,0.2758018,0.63821834,350.13837
100.0,229.09314,50.069077,351.54572,92.988815,2.3547194,351.54572
100.0,3.996336,3.742241,196.39767,0.3078981,0.39742061,196.39767
100.0,6.8621407,10.2775545,197.00922,1.0525311,1.7939593,197.00922
