# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# ASC CDL via OCIO CDLTransform, styles ASC (clamping) and NO_CLAMP
# columns: config,style,dir,in_r,in_g,in_b,out_r,out_g,out_b
# configs: warm: slope=[1.1, 1.0, 0.9] offset=[0.02, 0.0, -0.01] power=[0.95, 1.0, 1.05] sat=1.2; desat: slope=[0.8, 0.9, 1.2] offset=[-0.05, 0.03, 0.1] power=[1.3, 0.7, 1.0] sat=0.4; extreme: slope=[2.0, 0.5, 1.5] offset=[0.3, -0.2, 0.05] power=[0.5, 2.0, 1.0] sat=0.0
warm,asc,fwd,0.0,0.0,0.0,0.028150996,0.0,0.0
warm,asc,fwd,0.05,0.05,0.05,0.091236144,0.04879046,0.024308987
warm,asc,fwd,2.0,2.0,2.0,1.0,1.0,1.0
warm,asc,fwd,0.05,0.0,0.0,0.09881553,0.0,0.0
warm,asc,fwd,0.0,0.0,0.05,0.027723592,0.0,0.034056827
warm,asc,fwd,0.0,0.5,0.0,0.0,0.527452,0.0
warm,asc,fwd,1.0,0.0,0.0,1.0,0.0,0.0
warm,asc,fwd,0.0,0.0,1.0,0.0153739415,0.0,1.0
warm,asc,fwd,0.0,10.0,0.0,0.0,1.0,0.0
warm,asc,fwd,28.41841,24.344778,37.99694,1.0,1.0,1.0
warm,asc,fwd,19.77978,45.30961,11.772767,1.0,1.0,1.0
warm,asc,fwd,0.8164644,5.4543414,1.3180557,0.9097664,1.0,1.0
warm,asc,fwd,45.84187,9.971024,82.71785,1.0,1.0,1.0
warm,asc,fwd,0.0017597021,0.0021876774,0.0008382342,0.030420057,0.0011833045,0.0
warm,asc,fwd,3.1801033,1.6400017,2.1537457,1.0,1.0,1.0
warm,asc,fwd,0.022847129,0.20706503,0.14117625,0.029854327,0.21510138,0.092805915
warm,asc,fwd,0.0016861375,0.0008640829,0.002377121,0.03050167,0.0,0.0
warm,asc,fwd,-0.04678405,0.07795956,0.13675798,0.0,0.08093676,0.10907185
warm,asc,fwd,0.017277788,0.2918255,0.04677635,0.01096575,0.30610895,0.0
warm,asc,fwd,1.5,0.2,-0.1,1.0,0.16887094,0.0
warm,asc,fwd,-0.3,2.0,0.8,0.0,1.0,0.68440837
warm,asc,fwd,0.9,0.9,1.1,1.0,0.89461374,0.98941153
warm,asc,inv,0.028150996,0.0,0.0,0.00010684979,0.0009974808,0.012651289
warm,asc,inv,0.091236144,0.04879046,0.024308987,0.05000059,0.04999971,0.04999974
warm,asc,inv,1.0,1.0,1.0,0.89092004,1.0,1.0
warm,asc,inv,0.09881553,0.0,0.0,0.050401088,0.0035013934,0.016203703
warm,asc,inv,0.027723592,0.0,0.034056827,0.00013716519,0.0013921463,0.050217677
warm,asc,inv,0.0,0.527452,0.0,0.031229917,0.5024193,0.09080685
warm,asc,inv,1.0,0.0,0.0,0.76578784,0.035433337,0.057269
warm,asc,inv,0.0153739415,0.0,1.0,0.0008421543,0.012578066,0.9585394
warm,asc,inv,0.0,1.0,0.0,0.07870461,0.9525285,0.15767139
warm,asc,inv,1.0,1.0,1.0,0.89092004,1.0,1.0
warm,asc,inv,1.0,1.0,1.0,0.89092004,1.0,1.0
warm,asc,inv,0.9097664,1.0,1.0,0.81605417,0.99680626,1.0
warm,asc,inv,1.0,1.0,1.0,0.89092004,1.0,1.0
warm,asc,inv,0.030420057,0.0011833045,0.0,0.0017734735,0.0022050196,0.012975361
warm,asc,inv,1.0,1.0,1.0,0.89092004,1.0,1.0
warm,asc,inv,0.029854327,0.21510138,0.092805915,0.022847021,0.20706668,0.14117685
warm,asc,inv,0.03050167,0.0,0.0,0.0017180124,0.0010807702,0.0127735315
warm,asc,inv,0.0,0.08093676,0.10907185,0.0,0.07840833,0.13728634
warm,asc,inv,0.01096575,0.30610895,0.0,0.017391887,0.29196936,0.059058223
warm,asc,inv,1.0,0.16887094,0.0,0.7849193,0.19628732,0.08195725
warm,asc,inv,0.0,1.0,0.68440837,0.08576447,0.96076286,0.79981387
warm,asc,inv,1.0,0.89461374,0.98941153,0.8787676,0.8994956,1.0
warm,noclamp,fwd,0.0,0.0,0.0,0.028295396,-0.00088972645,-0.012889726
warm,noclamp,fwd,0.05,0.05,0.05,0.091236144,0.04879046,0.024308987
warm,noclamp,fwd,2.0,2.0,2.0,2.1564484,1.9966291,1.8080714
warm,noclamp,fwd,0.05,0.0,0.0,0.09895993,-0.0034855865,-0.015485588
warm,noclamp,fwd,0.0,0.0,0.05,0.027723592,-0.001461531,0.034056827
warm,noclamp,fwd,0.0,0.5,0.0,-0.043225467,0.52759635,-0.08441058
warm,noclamp,fwd,1.0,0.0,0.0,1.2891932,-0.047208786,-0.05920878
warm,noclamp,fwd,0.0,0.0,1.0,0.0153739415,-0.0138111785,1.0479937
warm,noclamp,fwd,0.0,10.0,0.0,-1.4021211,10.568829,-1.4433064
warm,noclamp,fwd,28.41841,24.344778,37.99694,26.408886,24.022507,43.757164
warm,noclamp,fwd,19.77978,45.30961,11.772767,14.955528,46.924313,6.846327
warm,noclamp,fwd,0.8164644,5.4543414,1.3180557,0.26993632,5.7086873,0.5864973
warm,noclamp,fwd,45.84187,9.971024,82.71785,45.23572,7.442645,106.28118
warm,noclamp,fwd,0.0017597021,0.0021876774,0.0008382342,0.030553564,0.0013168114,-0.012403101
warm,noclamp,fwd,3.1801033,1.6400017,2.1537457,3.5605774,1.5641727,1.9874258
warm,noclamp,fwd,0.022847129,0.20706503,0.14117625,0.029854327,0.21510138,0.092805915
warm,noclamp,fwd,0.0016861375,0.0008640829,0.002377121,0.030615177,-9.820191e-05,-0.010567822
