# generated by reference-checks/aces_ocio_encodings_reference.py, OpenColorIO 2.5.2
# FIXED_FUNCTION_ACES_GAMUT_COMP_13 with the default parameters lim=(1.147,1.264,1.312) thr=(0.815,0.803,0.880) power=1.2
# columns: dir,in_r,in_g,in_b,out_r,out_g,out_b (ACEScg / AP1 linear)
fwd,0.0,0.0,0.0,0.0,0.0,0.0
fwd,9.999998e-05,0.000100000005,1e-04,9.999998e-05,0.000100000005,1e-04
fwd,0.001,0.001,0.001,0.001,0.001,0.001
fwd,0.009999999,0.01,0.01,0.009999999,0.01,0.01
fwd,0.049999997,0.05,0.05,0.049999997,0.05,0.05
fwd,0.18,0.18,0.18,0.18,0.18,0.18
fwd,0.49999997,0.5,0.5,0.49999997,0.5,0.5
fwd,0.99999994,1.0,1.0,0.99999994,1.0,1.0
fwd,1.9999999,2.0,2.0,1.9999999,2.0,2.0
fwd,7.9999995,8.0,8.0,7.9999995,8.0,8.0
fwd,31.999998,32.0,32.0,31.999998,32.0,32.0
fwd,99.999985,100.0,100.0,99.999985,100.0,100.0
fwd,0.07257196,-0.003827689,0.00041580742,0.07257196,0.0034423852,0.0034823322
fwd,0.060746424,0.0549838,0.00011418492,0.060746424,0.0549838,0.0028315103
fwd,-0.011825538,0.058811486,-0.0003016225,-0.000805185,0.058811486,0.0026006703
fwd,-0.022571966,0.053827688,0.049584195,-0.002756281,0.053827688,0.049584195
fwd,-0.010746429,-0.0049837963,0.049885817,-0.0008452916,0.0016716305,0.049885817
fwd,0.061825536,-0.008811485,0.050301623,0.061825536,0.0014159513,0.050301623
fwd,0.72571963,-0.03827689,0.004158074,0.72571963,0.03442385,0.034823325
fwd,0.60746425,0.54983795,0.0011418492,0.60746425,0.54983795,0.028315103
fwd,-0.11825538,0.58811486,-0.0030162248,-0.00805185,0.58811486,0.026006702
fwd,-0.22571966,0.5382769,0.49584192,-0.027562812,0.5382769,0.49584192
fwd,-0.10746428,-0.04983796,0.49885815,-0.008452916,0.016716305,0.49885815
fwd,0.6182554,-0.08811485,0.50301623,0.6182554,0.014159513,0.50301623
fwd,1.4514393,-0.07655378,0.008316148,1.4514393,0.0688477,0.06964665
fwd,1.2149285,1.0996759,0.0022836984,1.2149285,1.0996759,0.056630205
fwd,-0.23651075,1.1762297,-0.0060324497,-0.0161037,1.1762297,0.052013405
fwd,-0.45143932,1.0765538,0.99168384,-0.055125624,1.0765538,0.99168384
fwd,-0.21492857,-0.09967592,0.9977163,-0.016905831,0.03343261,0.9977163
fwd,1.2365108,-0.1762297,1.0060325,1.2365108,0.028319025,1.0060325
fwd,14.514393,-0.76553774,0.08316148,14.514393,0.68847704,0.6964656
fwd,12.149285,10.996759,0.022836983,12.149285,10.996759,0.56630206
fwd,-2.3651075,11.762297,-0.060324498,-0.161037,11.762297,0.52013403
fwd,-4.5143933,10.765537,9.916839,-0.5512562,10.765537,9.916839
fwd,-2.1492858,-0.99675924,9.977163,-0.16905832,0.33432612,9.977163
fwd,12.365107,-1.7622969,10.060325,12.365107,0.28319025,10.060325
fwd,27.323168,22.672134,37.99964,27.323168,22.672134,37.99964
fwd,4.879783,7.5697227,1.9175758,4.879783,7.5697227,1.9175758
fwd,9.339015,2.048523,3.3099859,9.339015,2.048523,3.3099859
fwd,0.77793103,0.7429168,0.09595288,0.77793103,0.7429168,0.09595288
fwd,15.462635,50.606827,11.637046,15.462635,50.606827,11.637046
fwd,0.071213394,0.15470575,0.06653096,0.071213394,0.15470575,0.06653096
fwd,58.707626,61.997482,59.01725,58.707626,61.997482,59.01725
fwd,0.0014653206,0.0010156858,0.00068735244,0.0014653206,0.0010156858,0.00068735244
fwd,-0.3882497,6.2216763,1.2889326,0.16892986,6.2216763,1.2889326
fwd,-0.00037522663,0.0012788465,0.0015362931,-3.5434372e-05,0.0012788465,0.0015362931
fwd,13.870853,25.64798,25.23573,13.870853,25.64798,25.23573
fwd,0.06895718,0.068571545,0.049001962,0.06895718,0.068571545,0.049001962
fwd,46.40001,-0.02613163,82.85002,46.40001,5.500673,82.85002
