# libultrahdr applyGain single-channel, weighted, gamma=1.0
# metadata: min_boost=1.0 max_boost=4.0 offset_sdr=1/64 offset_hdr=1/64
# columns: weight, gain, base, out_r, out_g, out_b
weight,gain,base,out_r,out_g,out_b
0,0,0,0,0,0
0,0,0.00999999978,0.00999999978,0.00999999978,0.00999999978
0,0,0.100000001,0.100000001,0.100000001,0.100000001
0,0,0.180000007,0.180000007,0.180000007,0.180000007
0,0,0.5,0.5,0.5,0.5
0,0,0.75,0.75,0.75,0.75
0,0,1,1,1,1
0,0.25,0,0,0,0
0,0.25,0.00999999978,0.00999999978,0.00999999978,0.00999999978
0,0.25,0.100000001,0.100000001,0.100000001,0.100000001
0,0.25,0.180000007,0.180000007,0.180000007,0.180000007
0,0.25,0.5,0.5,0.5,0.5
0,0.25,0.75,0.75,0.75,0.75
0,0.25,1,1,1,1
0,0.5,0,0,0,0
0,0.5,0.00999999978,0.00999999978,0.00999999978,0.00999999978
0,0.5,0.100000001,0.100000001,0.100000001,0.100000001
0,0.5,0.180000007,0.180000007,0.180000007,0.180000007
0,0.5,0.5,0.5,0.5,0.5
0,0.5,0.75,0.75,0.75,0.75
0,0.5,1,1,1,1
0,0.75,0,0,0,0
0,0.75,0.00999999978,0.00999999978,0.00999999978,0.00999999978
0,0.75,0.100000001,0.100000001,0.100000001,0.100000001
0,0.75,0.180000007,0.180000007,0.180000007,0.180000007
0,0.75,0.5,0.5,0.5,0.5
0,0.75,0.75,0.75,0.75,0.75
0,0.75,1,1,1,1
0,1,0,0,0,0
0,1,0.00999999978,0.00999999978,0.00999999978,0.00999999978
0,1,0.100000001,0.100000001,0.100000001,0.100000001
0,1,0.180000007,0.180000007,0.180000007,0.180000007
0,1,0.5,0.5,0.5,0.5
0,1,0.75,0.75,0.75,0.75
0,1,1,1,1,1
0.5,0,0,0,0,0
0.5,0,0.00999999978,0.00999999978,0.00999999978,0.00999999978
0.5,0,0.100000001,0.100000001,0.100000001,0.100000001
0.5,0,0.180000007,0.180000007,0.180000007,0.180000007
0.5,0,0.5,0.5,0.5,0.5
0.5,0,0.75,0.75,0.75,0.75
0.5,0,1,1,1,1
0.5,0.25,0,0.00295636058,0.00295636058,0.00295636058
0.5,0.25,0.00999999978,0.0148484316,0.0148484316,0.0148484316
0.5,0.25,0.100000001,0.121877074,0.121877074,0.121877074
0.5,0.25,0.180000007,0.217013642,0.217013642,0.217013642
0.5,0.25,0.5,0.597559929,0.597559929,0.597559929
0.5,0.25,0.75,0.894861698,0.894861698,0.894861698
0.5,0.25,1,1.19216347,1.19216347,1.19216347
0.5,0.5,0,0.00647208653,0.00647208653,0.00647208653
0.5,0.5,0.00999999978,0.0206142217,0.0206142217,0.0206142217
0.5,0.5,0.100000001,0.147893444,0.147893444,0.147893444
0.5,0.5,0.180000007,0.261030525,0.261030525,0.261030525
0.5,0.5,0.5,0.71357888,0.71357888,0.71357888
0.5,0.5,0.75,1.06713223,1.06713223,1.06713223
0.5,0.5,1,1.42068565,1.42068565,1.42068565
0.5,0.75,0,0.0106530134,0.0106530134,0.0106530134
0.5,0.75,0.00999999978,0.0274709426,0.0274709426,0.0274709426
0.5,0.75,0.100000001,0.178832307,0.178832307,0.178832307
0.5,0.75,0.180000007,0.313375741,0.313375741,0.313375741
0.5,0.75,0.5,0.851549447,0.851549447,0.851549447
0.5,0.75,0.75,1.27199769,1.27199769,1.27199769
0.5,0.75,1,1.69244587,1.69244587,1.69244587
0.5,1,0,0.015625,0.015625,0.015625
0.5,1,0.00999999978,0.0356249996,0.0356249996,0.0356249996
0.5,1,0.100000001,0.215625003,0.215625003,0.215625003
0.5,1,0.180000007,0.375625014,0.375625014,0.375625014
0.5,1,0.5,1.015625,1.015625,1.015625
0.5,1,0.75,1.515625,1.515625,1.515625
0.5,1,1,2.015625,2.015625,2.015625
1,0,0,0,0,0
1,0,0.00999999978,0.00999999978,0.00999999978,0.00999999978
1,0,0.100000001,0.100000001,0.100000001,0.100000001
1,0,0.180000007,0.180000007,0.180000007,0.180000007
1,0,0.5,0.5,0.5,0.5
1,0,0.75,0.75,0.75,0.75
1,0,1,1,1,1
1,0.25,0,0.00647208653,0.00647208653,0.00647208653
1,0.25,0.00999999978,0.0206142217,0.0206142217,0.0206142217
1,0.25,0.100000001,0.147893444,0.147893444,0.147893444
1,0.25,0.180000007,0.261030525,0.261030525,0.261030525
1,0.25,0.5,0.71357888,0.71357888,0.71357888
1,0.25,0.75,1.06713223,1.06713223,1.06713223
1,0.25,1,1.42068565,1.42068565,1.42068565
1,0.5,0,0.015625,0.015625,0.015625
1,0.5,0.00999999978,0.0356249996,0.0356249996,0.0356249996
1,0.5,0.100000001,0.215625003,0.215625003,0.215625003
1,0.5,0.180000007,0.375625014,0.375625014,0.375625014
1,0.5,0.5,1.015625,1.015625,1.015625
1,0.5,0.75,1.515625,1.515625,1.515625
1,0.5,1,2.015625,2.015625,2.015625
1,0.75,0,0.0285691731,0.0285691731,0.0285691731
1,0.75,0.00999999978,0.0568534434,0.0568534434,0.0568534434
1,0.75,0.100000001,0.311411887,0.311411887,0.311411887
1,0.75,0.180000007,0.53768605,0.53768605,0.53768605
1,0.75,0.5,1.44278276,1.44278276,1.44278276
1,0.75,0.75,2.14988947,2.14988947,2.14988947
1,0.75,1,2.8569963,2.8569963,2.8569963
1,1,0,0.046875,0.046875,0.046875
1,1,0.00999999978,0.0868749991,0.0868749991,0.0868749991
1,1,0.100000001,0.446875006,0.446875006,0.446875006
1,1,0.180000007,0.766875029,0.766875029,0.766875029
1,1,0.5,2.046875,2.046875,2.046875
1,1,0.75,3.046875,3.046875,3.046875
1,1,1,4.046875,4.046875,4.046875

# libultrahdr applyGain per-channel, weight=1.0, gamma=1.0
# columns: gain_r, gain_g, gain_b, base_r, base_g, base_b, out_r, out_g, out_b
gain_r,gain_g,gain_b,base_r,base_g,base_b,out_r,out_g,out_b
0,0,0,0.5,0.5,0.5,0.5,0.5,0.5
1,1,1,0.5,0.5,0.5,2.046875,2.046875,2.046875
0.5,0.5,0.5,0.5,0.5,0.5,1.015625,1.015625,1.015625
1,0.5,0,0.300000012,0.600000024,0.100000001,1.24687505,1.21562505,0.100000001
0.25,0.75,1,0.699999988,0.200000003,0.899999976,0.996421576,0.594254613,3.6468749
