# libultrahdr computeGain
# columns: sdr, hdr, gain_log2
# formula: log2((hdr+1e-7)/(sdr+1e-7)), clamped to 2.3 when sdr < 2/255
sdr,hdr,gain_log2
0,0,0
0,0.00100000005,2.29999995
0,0.00999999978,2.29999995
0,0.0500000007,2.29999995
0,0.100000001,2.29999995
0,0.5,2.29999995
0,1,2.29999995
0,2,2.29999995
0,4,2.29999995
0,8,2.29999995
0.001953125,0,-14.2535706
0.001953125,0.00100000005,-0.96571368
0.001953125,0.00999999978,2.29999995
0.001953125,0.0500000007,2.29999995
0.001953125,0.100000001,2.29999995
0.001953125,0.5,2.29999995
0.001953125,1,2.29999995
0.001953125,2,2.29999995
0.001953125,4,2.29999995
0.001953125,8,2.29999995
0.00392156886,0,-15.2591801
0.00392156886,0.00100000005,-1.97132349
0.00392156886,0.00999999978,1.35047472
0.00392156886,0.0500000007,2.29999995
0.00392156886,0.100000001,2.29999995
0.00392156886,0.5,2.29999995
0.00392156886,1,2.29999995
0.00392156886,2,2.29999995
0.00392156886,4,2.29999995
0.00392156886,8,2.29999995
0.00784313772,0,-16.259161
0.00784313772,0.00100000005,-2.97130489
0.00784313772,0.00999999978,0.350493163
0.00784313772,0.0500000007,2.67240977
0.00784313772,0.100000001,3.67240834
0.00784313772,0.5,5.99433517
0.00784313772,1,6.99433517
0.00784313772,2,7.99433517
0.00784313772,4,8.99433517
0.00784313772,8,9.99433517
0.0117647061,0,-16.8441181
0.0117647061,0.00100000005,-3.5562613
0.0117647061,0.00999999978,-0.234463185
0.0117647061,0.0500000007,2.08745337
0.0117647061,0.100000001,3.08745193
0.0117647061,0.5,5.40937901
0.0117647061,1,6.40937901
0.0117647061,2,7.40937853
0.0117647061,4,8.40937901
0.0117647061,8,9.40937901
0.100000001,0,-19.9315701
0.100000001,0.00100000005,-6.64371347
0.100000001,0.00999999978,-3.32191515
0.100000001,0.0500000007,-0.99999845
0.100000001,0.100000001,0
0.100000001,0.5,2.32192707
0.100000001,1,3.32192683
0.100000001,2,4.32192659
0.100000001,4,5.32192659
0.100000001,8,6.32192659
0.180000007,0,-20.7795658
0.180000007,0.00100000005,-7.49170971
0.180000007,0.00999999978,-4.16991138
0.180000007,0.0500000007,-1.8479948
0.180000007,0.100000001,-0.847996354
0.180000007,0.5,1.4739306
0.180000007,1,2.4739306
0.180000007,2,3.47393036
0.180000007,4,4.47393036
0.180000007,8,5.47393036
0.5,0,-22.2534962
0.5,0.00100000005,-8.96564007
0.5,0.00999999978,-5.64384222
0.5,0.0500000007,-3.3219254
0.5,0.100000001,-2.32192707
0.5,0.5,0
0.5,1,0.999999821
0.5,2,1.99999964
0.5,4,2.99999976
0.5,8,3.99999976
1,0,-23.2534962
1,0.00100000005,-9.96564007
1,0.00999999978,-6.64384174
1,0.0500000007,-4.32192516
1,0.100000001,-3.32192683
1,0.5,-0.999999821
1,1,0
1,2,0.999999821
1,4,1.99999988
1,8,2.99999976
