# libultrahdr gamut-conversion matrices
# columns: conv, r_in, g_in, b_in, r_out, g_out, b_out
# conv values: bt709_to_p3, bt709_to_bt2100, p3_to_bt709,
#              p3_to_bt2100, bt2100_to_bt709, bt2100_to_p3
# reference: lib/src/gainmapmath.cpp:609-633 @ libultrahdr commit 8cbc983
conv,r_in,g_in,b_in,r_out,g_out,b_out
bt709_to_p3,0,0,0,0,0,0
bt709_to_bt2100,0,0,0,0,0,0
p3_to_bt709,0,0,0,0,0,0
p3_to_bt2100,0,0,0,0,0,0
bt2100_to_bt709,0,0,0,0,0,0
bt2100_to_p3,0,0,0,0,0,0
bt709_to_p3,0.00100000005,0.00100000005,0.00100000005,0.00100000016,0.00100000005,0.0010000011
bt709_to_bt2100,0.00100000005,0.00100000005,0.00100000005,0.000999999931,0.00100000005,0.00100000005
p3_to_bt709,0.00100000005,0.00100000005,0.00100000005,0.000999999931,0.00100000005,0.00100000005
p3_to_bt2100,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.000999999116
bt2100_to_bt709,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
bt2100_to_p3,0.00100000005,0.00100000005,0.00100000005,0.00100000016,0.00100000005,0.0010000011
bt709_to_p3,0.00999999978,0.00999999978,0.00999999978,0.0100000007,0.00999999978,0.01000001
bt709_to_bt2100,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978
p3_to_bt709,0.00999999978,0.00999999978,0.00999999978,0.00999999885,0.00999999978,0.00999999978
p3_to_bt2100,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999885,0.00999998953
bt2100_to_bt709,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999885
bt2100_to_p3,0.00999999978,0.00999999978,0.00999999978,0.00999999885,0.00999999978,0.01000001
bt709_to_p3,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000529
bt709_to_bt2100,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007
p3_to_bt709,0.0500000007,0.0500000007,0.0500000007,0.049999997,0.0500000045,0.0500000007
p3_to_bt2100,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0499999486
bt2100_to_bt709,0.0500000007,0.0500000007,0.0500000007,0.0500000045,0.0500000045,0.049999997
bt2100_to_p3,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000045,0.0500000529
bt709_to_p3,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000106
bt709_to_bt2100,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
p3_to_bt709,0.100000001,0.100000001,0.100000001,0.099999994,0.100000009,0.100000001
p3_to_bt2100,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.0999998972
bt2100_to_bt709,0.100000001,0.100000001,0.100000001,0.100000009,0.100000009,0.099999994
bt2100_to_p3,0.100000001,0.100000001,0.100000001,0.100000001,0.100000009,0.100000106
bt709_to_p3,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000186
bt709_to_bt2100,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
p3_to_bt709,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
p3_to_bt2100,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.179999828
