# libultrahdr HLG OOTF / inverse OOTF (BT.2100 luminance)
# columns: dir, gamma, r_in, g_in, b_in, r_out, g_out, b_out
# dir values: ootf, inverse_ootf, ootf_approx, inverse_ootf_approx
# gamma values cover hlg_system_gamma over typical display peaks
# reference: lib/src/gainmapmath.cpp:294/304/299/309 @ libultrahdr commit 8cbc983
dir,gamma,r_in,g_in,b_in,r_out,g_out,b_out
ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
inverse_ootf_approx,1,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005,0.00100000005
ootf,1,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978
inverse_ootf,1,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978
ootf_approx,1,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978
inverse_ootf_approx,1,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.00999999978
ootf,1,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007
inverse_ootf,1,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007
ootf_approx,1,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007
inverse_ootf_approx,1,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007
ootf,1,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
inverse_ootf,1,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
ootf_approx,1,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
inverse_ootf_approx,1,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
ootf,1,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
inverse_ootf,1,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
ootf_approx,1,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
inverse_ootf_approx,1,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
ootf,1,0.25,0.25,0.25,0.25,0.25,0.25
inverse_ootf,1,0.25,0.25,0.25,0.25,0.25,0.25
ootf_approx,1,0.25,0.25,0.25,0.25,0.25,0.25
inverse_ootf_approx,1,0.25,0.25,0.25,0.25,0.25,0.25
ootf,1,0.5,0.5,0.5,0.5,0.5,0.5
inverse_ootf,1,0.5,0.5,0.5,0.5,0.5,0.5
ootf_approx,1,0.5,0.5,0.5,0.5,0.5,0.5
inverse_ootf_approx,1,0.5,0.5,0.5,0.5,0.5,0.5
ootf,1,0.75,0.75,0.75,0.75,0.75,0.75
inverse_ootf,1,0.75,0.75,0.75,0.75,0.75,0.75
ootf_approx,1,0.75,0.75,0.75,0.75,0.75,0.75
inverse_ootf_approx,1,0.75,0.75,0.75,0.75,0.75,0.75
ootf,1,1,1,1,1,1,1
inverse_ootf,1,1,1,1,1,1,1
ootf_approx,1,1,1,1,1,1,1
inverse_ootf_approx,1,1,1,1,1,1,1
ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.000796159438,0.000796159438,0.000796159438
inverse_ootf_approx,1.03299999,0.00100000005,0.00100000005,0.00100000005,0.00124691636,0.00124691636,0.00124691636
ootf,1.03299999,0.00999999978,0.00999999978,0.00999999978,0.00859013572,0.00859013572,0.00859013572
inverse_ootf,1.03299999,0.00999999978,0.00999999978,0.00999999978,0.0115848789,0.0115848789,0.0115848789
ootf_approx,1.03299999,0.00999999978,0.00999999978,0.00999999978,0.00859013572,0.00859013572,0.00859013572
inverse_ootf_approx,1.03299999,0.00999999978,0.00999999978,0.00999999978,0.0115848798,0.0115848798,0.0115848798
ootf,1.03299999,0.0500000007,0.0500000007,0.0500000007,0.0452935174,0.0452935174,0.0452935174
inverse_ootf,1.03299999,0.0500000007,0.0500000007,0.0500000007,0.0550214946,0.0550214946,0.0550214946
ootf_approx,1.03299999,0.0500000007,0.0500000007,0.0500000007,0.0452935174,0.0452935174,0.0452935174
inverse_ootf_approx,1.03299999,0.0500000007,0.0500000007,0.0500000007,0.0550214984,0.0550214984,0.0550214984
ootf,1.03299999,0.100000001,0.100000001,0.100000001,0.09268298,0.09268298,0.09268298
inverse_ootf,1.03299999,0.100000001,0.100000001,0.100000001,0.107633077,0.107633077,0.107633077
ootf_approx,1.03299999,0.100000001,0.100000001,0.100000001,0.0926829875,0.0926829875,0.0926829875
inverse_ootf_approx,1.03299999,0.100000001,0.100000001,0.100000001,0.107633084,0.107633084,0.107633084
ootf,1.03299999,0.180000007,0.180000007,0.180000007,0.170096949,0.170096949,0.170096949
