# libultrahdr per-gamut luminance dot products
# columns: r, g, b, srgb_luma, p3_luma, bt2100_luma
# reference: lib/src/gainmapmath.cpp:94/164/195 @ libultrahdr commit 8cbc983
r,g,b,srgb_luma,p3_luma,bt2100_luma
0,0,0,0,0,0
0.00100000005,0.00100000005,0.00100000005,0.00100000016,0.00100000005,0.00100000005
0.00999999978,0.00999999978,0.00999999978,0.00999999978,0.0100000007,0.00999999978
0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007,0.0500000007
0.100000001,0.100000001,0.100000001,0.100000001,0.100000001,0.100000001
0.180000007,0.180000007,0.180000007,0.180000007,0.180000007,0.180000007
0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.5,0.5,0.5
0.75,0.75,0.75,0.75000006,0.74999994,0.75
1,1,1,1,1,1
1.5,1.5,1.5,1.50000012,1.49999988,1.5
2,2,2,2,2,2
4,4,4,4,4,4
8,8,8,8,8,8
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.00100000005,0,0,0.000212639017,0.000228974604,0.000262699992
0,0.00100000005,0,0.000715169066,0.000691738504,0.000677998061
0,0,0.00100000005,7.21920005e-05,7.92869105e-05,5.93020013e-05
0.00999999978,0,0,0.00212638988,0.00228974596,0.00262699975
0,0.00999999978,0,0.00715168985,0.00691738492,0.00677997991
0,0,0.00999999978,0.000721919991,0.000792869017,0.000593019999
0.0500000007,0,0,0.0106319506,0.0114487298,0.0131350001
0,0.0500000007,0,0.0357584506,0.0345869251,0.0338998996
0,0,0.0500000007,0.00360960001,0.00396434544,0.00296509988
0.100000001,0,0,0.0212639011,0.0228974596,0.0262700003
0,0.100000001,0,0.0715169013,0.0691738501,0.0677997991
0,0,0.100000001,0.00721920002,0.00792869087,0.00593019975
0.180000007,0,0,0.0382750221,0.0412154272,0.0472860001
0,0.180000007,0,0.128730431,0.124512933,0.122039646
0,0,0.180000007,0.0129945604,0.014271643,0.0106743602
0.25,0,0,0.053159751,0.0572436489,0.0656749979
0,0.25,0,0.178792253,0.172934622,0.169499502
0,0,0.25,0.0180479996,0.0198217258,0.0148254996
0.5,0,0,0.106319502,0.114487298,0.131349996
0,0.5,0,0.357584506,0.345869243,0.338999003
0,0,0.5,0.0360959992,0.0396434516,0.0296509992
0.75,0,0,0.15947926,0.17173095,0.197025001
0,0.75,0,0.536376774,0.518803835,0.50849849
0,0,0.75,0.0541439988,0.0594651774,0.0444764979
1,0,0,0.212639004,0.228974596,0.262699991
0,1,0,0.715169013,0.691738486,0.677998006
0,0,1,0.0721919984,0.0792869031,0.0593019985
