# libultrahdr ReinhardMap golden vectors
# columns: headroom, y_hdr, y_sdr
# format: %.9g (decimal), generated by libultrahdr_reinhard.cpp
# reference: lib/src/jpegr.cpp:1817 @ libultrahdr commit 8cbc983
headroom,y_hdr,y_sdr
2,0,0
2,0.00100000005,0.000999250798
2,0.00999999978,0.00992574356
2,0.0500000007,0.0482142903
2,0.100000001,0.0931818113
2,0.180000007,0.159406766
2,0.25,0.212500006
2,0.5,0.375
2,0.75,0.508928537
2,1,0.625
2,1.5,0.825000048
2,2,1
2,2.5,1.16071427
2,3,1.3125
2,3.5,1.45833325
2,4,1.60000002
2,6,2.14285707
2,8,2.66666675
2,12,3.69230795
2,16,4.70588255
2,32,8.72727299
4,0,0
4,0.00100000005,0.00099906337
4,0.00999999978,0.00990717765
4,0.0500000007,0.047767859
4,0.100000001,0.0914772749
4,0.180000007,0.154258475
4,0.25,0.203125
4,0.5,0.34375
4,0.75,0.448660702
4,1,0.53125
4,1.5,0.65625
4,2,0.75
4,2.5,0.825892806
4,3,0.890625
4,3.5,0.947916687
4,4,1
4,6,1.17857146
4,8,1.33333337
4,12,1.6153847
4,16,1.88235295
4,32,2.909091
8,0,0
8,0.00100000005,0.000999016687
8,0.00999999978,0.00990253687
8,0.0500000007,0.047656253
8,0.100000001,0.0910511315
8,0.180000007,0.152971402
8,0.25,0.200781256
8,0.5,0.3359375
8,0.75,0.43359375
8,1,0.5078125
8,1.5,0.614062548
8,2,0.6875
8,2.5,0.7421875
8,3,0.78515625
8,3.5,0.8203125
8,4,0.850000024
8,6,0.9375
8,8,1
8,12,1.09615386
8,16,1.17647064
8,32,1.4545455
16,0,0
16,0.00100000005,0.000999004929
16,0.00999999978,0.00990137737
16,0.0500000007,0.0476283506
16,0.100000001,0.0909446031
16,0.180000007,0.152649611
16,0.25,0.200195312
16,0.5,0.333984375
16,0.75,0.429826975
16,1,0.501953125
16,1.5,0.603515625
16,2,0.671875
16,2.5,0.721261144
16,3,0.758789062
16,3.5,0.788411498
16,4,0.8125
16,6,0.877232075
16,8,0.916666687
16,12,0.966346145
16,16,1
16,32,1.09090912

# globalTonemap vectors
# columns: headroom, r_in, g_in, b_in, r_out, g_out, b_out
headroom,r_in,g_in,b_in,r_out,g_out,b_out
2,0,0,0,0,0,0
2,0.5,0.5,0.5,0.625,0.625,0.625
2,1,0.5,0.25,1,0.5,0.25
2,0.200000003,0.899999976,0.100000001,0.207142889,0.932142913,0.103571445
2,0.949999988,0.100000001,0.0500000007,0.966379285,0.101724133,0.0508620664
2,0.800000012,0.800000012,0.200000003,0.861538589,0.861538589,0.215384647
4,0,0,0,0,0,0
4,0.5,0.5,0.5,0.75,0.75,0.75
4,1,0.5,0.25,1,0.5,0.25
4,0.200000003,0.899999976,0.100000001,0.213043481,0.95869559,0.106521741
4,0.949999988,0.100000001,0.0500000007,0.979687393,0.103124991,0.0515624955
4,0.800000012,0.800000012,0.200000003,0.914285779,0.914285779,0.228571445
8,0,0,0,0,0,0
8,0.5,0.5,0.5,0.850000024,0.850000024,0.850000024
8,1,0.5,0.25,1,0.5,0.25
8,0.200000003,0.899999976,0.100000001,0.217073187,0.97682929,0.108536594
8,0.949999988,0.100000001,0.0500000007,0.98866266,0.104069754,0.0520348772
8,0.800000012,0.800000012,0.200000003,0.951351345,0.951351345,0.237837836
16,0,0,0,0,0,0
16,0.5,0.5,0.5,0.916666687,0.916666687,0.916666687
16,1,0.5,0.25,1,0.5,0.25
16,0.200000003,0.899999976,0.100000001,0.219480515,0.987662315,0.109740257
16,0.949999988,0.100000001,0.0500000007,0.993981421,0.104629628,0.0523148142
16,0.800000012,0.800000012,0.200000003,0.973913014,0.973913014,0.243478253
